야	ᄋ ᅣ
겹치네	ᄀ ᅧ ᆸ ᄎ ᅵ ᄂ ᅦ
솔플인데	ᄉ ᅩ ᆯ ᄑ ᅳ ᄅ ᅵ ᆫ ᄃ ᅦ
동방	ᄃ ᅩ ᆼ ᄇ ᅡ ᆼ
준식이도	ᄌ ᅮ ᆫ ᄉ ᅵ ᄀ ᅵ ᄃ ᅩ
준식이	ᄌ ᅮ ᆫ ᄉ ᅵ ᄀ ᅵ
오래됐네	ᄋ ᅩ ᄅ ᅢ ᄃ ᅫ ᆫ ᄂ ᅦ
동방에서	ᄃ ᅩ ᆼ ᄇ ᅡ ᆼ ᄋ ᅦ ᄉ ᅥ
에임	ᄋ ᅦ ᄋ ᅵ ᆷ
와이파이가	ᄋ ᅪ ᄋ ᅵ ᄑ ᅡ ᄋ ᅵ ᄀ ᅡ
와이파이	ᄋ ᅪ ᄋ ᅵ ᄑ ᅡ ᄋ ᅵ
에임이	ᄋ ᅦ ᄋ ᅵ ᄆ ᅵ
물렸어요	ᄆ ᅮ ᆯ ᄅ ᅧ ᄊ ᅥ ᄋ ᅭ
케어	ᄏ ᅦ ᄋ ᅥ
빠져야지	ᄈ ᅡ ᄌ ᅥ ᄋ ᅣ ᄌ ᅵ
치던가	ᄎ ᅵ ᄃ ᅥ ᆫ ᄀ ᅡ
그만할게요	ᄀ ᅳ ᄆ ᅡ ᆫ ᄒ ᅡ ᆯ ᄀ ᅦ ᄋ ᅭ
삐져가지고	ᄈ ᅵ ᄌ ᅥ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
이명진	ᄋ ᅵ ᄆ ᅧ ᆼ ᄌ ᅵ ᆫ
언제라고	ᄋ ᅥ ᆫ ᄌ ᅦ ᄅ ᅡ ᄀ ᅩ
미치겠더라	ᄆ ᅵ ᄎ ᅵ ᄀ ᅦ ᆮ ᄄ ᅥ ᄅ ᅡ
행시하는	ᄒ ᅢ ᆼ ᄉ ᅵ ᄒ ᅡ ᄂ ᅳ ᆫ
민구도	ᄆ ᅵ ᆫ ᄀ ᅮ ᄃ ᅩ
민구	ᄆ ᅵ ᆫ ᄀ ᅮ
영식이	ᄋ ᅧ ᆼ ᄉ ᅵ ᄀ ᅵ
준혁이	ᄌ ᅮ ᆫ ᄒ ᅧ ᄀ ᅵ
행시를	ᄒ ᅢ ᆼ ᄉ ᅵ ᄅ ᅳ ᆯ
시험만	ᄉ ᅵ ᄒ ᅥ ᆷ ᄆ ᅡ ᆫ
만사형통이니까	ᄆ ᅡ ᆫ ᄉ ᅡ ᄒ ᅧ ᆼ ᄐ ᅩ ᆼ ᄋ ᅵ ᄂ ᅵ ᄁ ᅡ
사시도	ᄉ ᅡ ᄉ ᅵ ᄃ ᅩ
없어졌고	ᄋ ᅥ ᆸ ᄊ ᅥ ᄌ ᅥ ᆮ ᄁ ᅩ
고위직	ᄀ ᅩ ᄋ ᅱ ᄌ ᅵ ᆨ
이것뿐이지	ᄋ ᅵ ᄀ ᅥ ᆮ ᄈ ᅮ ᄂ ᅵ ᄌ ᅵ
편하질	ᄑ ᅧ ᆫ ᄒ ᅡ ᄌ ᅵ ᆯ
돼가냐	ᄃ ᅫ ᄀ ᅡ ᄂ ᅣ
일차	ᄋ ᅵ ᆯ ᄎ ᅡ
이십장	ᄋ ᅵ ᄉ ᅵ ᆸ ᄍ ᅡ ᆼ
빼드릴게요	ᄈ ᅢ ᄃ ᅳ ᄅ ᅵ ᆯ ᄀ ᅦ ᄋ ᅭ
할인에	ᄒ ᅡ ᄅ ᅵ ᄂ ᅦ
제휴	ᄌ ᅦ ᄒ ᅲ
카드까지	ᄏ ᅡ ᄃ ᅳ ᄁ ᅡ ᄌ ᅵ
카드는	ᄏ ᅡ ᄃ ᅳ ᄂ ᅳ ᆫ
신용카드는	ᄉ ᅵ ᄂ ᅭ ᆼ ᄏ ᅡ ᄃ ᅳ ᄂ ᅳ ᆫ
쓰시죠	ᄊ ᅳ ᄉ ᅵ ᄌ ᅭ
신용카드	ᄉ ᅵ ᄂ ᅭ ᆼ ᄏ ᅡ ᄃ ᅳ
만드시고	ᄆ ᅡ ᆫ ᄃ ᅳ ᄉ ᅵ ᄀ ᅩ
자동납부	ᄌ ᅡ ᄃ ᅩ ᆼ ᄂ ᅡ ᆸ ᄈ ᅮ
설정하시면	ᄉ ᅥ ᆯ ᄌ ᅥ ᆼ ᄒ ᅡ ᄉ ᅵ ᄆ ᅧ ᆫ
할인되거든요	ᄒ ᅡ ᄅ ᅵ ᆫ ᄃ ᅬ ᄀ ᅥ ᄃ ᅳ ᄂ ᅭ
만드세요	ᄆ ᅡ ᆫ ᄃ ᅳ ᄉ ᅦ ᄋ ᅭ
학생이라서	ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄋ ᅵ ᄅ ᅡ ᄉ ᅥ
조회해봐	ᄌ ᅩ ᄒ ᅬ ᄒ ᅢ ᄇ ᅪ
할부원금은	ᄒ ᅡ ᆯ ᄇ ᅮ ᄋ ᅯ ᆫ ᄀ ᅳ ᄆ ᅳ ᆫ
나오고요	ᄂ ᅡ ᄋ ᅩ ᄀ ᅩ ᄋ ᅭ
부원금이요	ᄇ ᅮ ᄋ ᅯ ᆫ ᄀ ᅳ ᄆ ᅵ ᄋ ᅭ
부가세도	ᄇ ᅮ ᄀ ᅡ ᄉ ᅦ ᄃ ᅩ
포함	ᄑ ᅩ ᄒ ᅡ ᆷ
오셨구나	ᄋ ᅩ ᄉ ᅧ ᆮ ᄁ ᅮ ᄂ ᅡ
되시겠네요	ᄃ ᅬ ᄉ ᅵ ᄀ ᅦ ᆫ ᄂ ᅦ ᄋ ᅭ
약정할인으로	ᄋ ᅣ ᆨ ᄍ ᅥ ᆼ ᄒ ᅡ ᄅ ᅵ ᄂ ᅳ ᄅ ᅩ
생각인데요	ᄉ ᅢ ᆼ ᄀ ᅡ ᄀ ᅵ ᆫ ᄃ ᅦ ᄋ ᅭ
특별	ᄐ ᅳ ᆨ ᄈ ᅧ ᆯ
지원금은	ᄌ ᅵ ᄋ ᅯ ᆫ ᄀ ᅳ ᄆ ᅳ ᆫ
어려우신데	ᄋ ᅥ ᄅ ᅧ ᄋ ᅮ ᄉ ᅵ ᆫ ᄃ ᅦ
보이긴	ᄇ ᅩ ᄋ ᅵ ᄀ ᅵ ᆫ
운동부터	ᄋ ᅮ ᆫ ᄃ ᅩ ᆼ ᄇ ᅮ ᄐ ᅥ
놀았었잖아	ᄂ ᅩ ᄅ ᅡ ᄊ ᅥ ᆮ ᄍ ᅡ ᄂ ᅡ
놀러간	ᄂ ᅩ ᆯ ᄅ ᅥ ᄀ ᅡ ᆫ
바닷물보다	ᄇ ᅡ ᄃ ᅡ ᆫ ᄆ ᅮ ᆯ ᄇ ᅩ ᄃ ᅡ
물보단	ᄆ ᅮ ᆯ ᄇ ᅩ ᄃ ᅡ ᆫ
말러	ᄆ ᅡ ᆯ ᄅ ᅥ
심해지는	ᄉ ᅵ ᆷ ᄒ ᅢ ᄌ ᅵ ᄂ ᅳ ᆫ
마취	ᄆ ᅡ ᄎ ᅱ
놓더만	ᄂ ᅩ ᄐ ᅥ ᄆ ᅡ ᆫ
주사나	ᄌ ᅮ ᄉ ᅡ ᄂ ᅡ
연희동에	ᄋ ᅧ ᆫ ᄒ ᅵ ᄃ ᅩ ᆼ ᄋ ᅦ
파전	ᄑ ᅡ ᄌ ᅥ ᆫ
연희동	ᄋ ᅧ ᆫ ᄒ ᅵ ᄃ ᅩ ᆼ
여쭤보러	ᄋ ᅧ ᄍ ᅯ ᄇ ᅩ ᄅ ᅥ
알아보시고	ᄋ ᅡ ᄅ ᅡ ᄇ ᅩ ᄉ ᅵ ᄀ ᅩ
폰부터	ᄑ ᅩ ᆫ ᄇ ᅮ ᄐ ᅥ
보여드릴까	ᄇ ᅩ ᄋ ᅧ ᄃ ᅳ ᄅ ᅵ ᆯ ᄁ ᅡ
해보시라고요	ᄒ ᅢ ᄇ ᅩ ᄉ ᅵ ᄅ ᅡ ᄀ ᅩ ᄋ ᅭ
빠졌고	ᄈ ᅡ ᄌ ᅥ ᆮ ᄁ ᅩ
삐까번쩍한	ᄈ ᅵ ᄁ ᅡ ᄇ ᅥ ᆫ ᄍ ᅥ ᄏ ᅡ ᆫ
용천혈	ᄋ ᅭ ᆼ ᄎ ᅥ ᆫ ᄒ ᅧ ᆯ
언저리에서	ᄋ ᅥ ᆫ ᄌ ᅥ ᄅ ᅵ ᄋ ᅦ ᄉ ᅥ
마구마구	ᄆ ᅡ ᄀ ᅮ ᄆ ᅡ ᄀ ᅮ
끓어오르지	ᄁ ᅳ ᄅ ᅥ ᄋ ᅩ ᄅ ᅳ ᄌ ᅵ
견적이	ᄀ ᅧ ᆫ ᄌ ᅥ ᄀ ᅵ
이동하고	ᄋ ᅵ ᄃ ᅩ ᆼ ᄒ ᅡ ᄀ ᅩ
십이만	ᄉ ᅵ ᄇ ᅵ ᄆ ᅡ ᆫ
백이십이면	ᄇ ᅢ ᄀ ᅵ ᄉ ᅵ ᄇ ᅵ ᄆ ᅧ ᆫ
판씩	ᄑ ᅡ ᆫ ᄊ ᅵ ᆨ
정도씩	ᄌ ᅥ ᆼ ᄃ ᅩ ᄊ ᅵ ᆨ
이해해줘야	ᄋ ᅵ ᄒ ᅢ ᄒ ᅢ ᄌ ᅯ ᄋ ᅣ
풀어야지	ᄑ ᅮ ᄅ ᅥ ᄋ ᅣ ᄌ ᅵ
막무가네야	ᄆ ᅡ ᆼ ᄆ ᅮ ᄀ ᅡ ᄂ ᅦ ᄋ ᅣ
좋겠대	ᄌ ᅩ ᄏ ᅦ ᆮ ᄄ ᅢ
불법적인	ᄇ ᅮ ᆯ ᄇ ᅥ ᆸ ᄍ ᅥ ᄀ ᅵ ᆫ
헌팅	ᄒ ᅥ ᆫ ᄐ ᅵ ᆼ
여친은	ᄋ ᅧ ᄎ ᅵ ᄂ ᅳ ᆫ
부분에서는	ᄇ ᅮ ᄇ ᅮ ᄂ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
여친도	ᄋ ᅧ ᄎ ᅵ ᆫ ᄃ ᅩ
싫어했던	ᄉ ᅵ ᄅ ᅥ ᄒ ᅢ ᆮ ᄄ ᅥ ᆫ
이상적이다	ᄋ ᅵ ᄉ ᅡ ᆼ ᄌ ᅥ ᄀ ᅵ ᄃ ᅡ
짜장	ᄍ ᅡ ᄌ ᅡ ᆼ
짬뽕부터	ᄍ ᅡ ᆷ ᄈ ᅩ ᆼ ᄇ ᅮ ᄐ ᅥ
사찰	ᄉ ᅡ ᄎ ᅡ ᆯ
음식처럼	ᄋ ᅳ ᆷ ᄉ ᅵ ᆨ ᄎ ᅥ ᄅ ᅥ ᆷ
그것대로	ᄀ ᅳ ᄀ ᅥ ᆮ ᄄ ᅢ ᄅ ᅩ
고민이겠다	ᄀ ᅩ ᄆ ᅵ ᄂ ᅵ ᄀ ᅦ ᆮ ᄄ ᅡ
맥주도	ᄆ ᅢ ᆨ ᄍ ᅮ ᄃ ᅩ
십오에서	ᄉ ᅵ ᄇ ᅩ ᄋ ᅦ ᄉ ᅥ
이십까지	ᄋ ᅵ ᄉ ᅵ ᆸ ᄁ ᅡ ᄌ ᅵ
복사가	ᄇ ᅩ ᆨ ᄊ ᅡ ᄀ ᅡ
수업이세요	ᄉ ᅮ ᄋ ᅥ ᄇ ᅵ ᄉ ᅦ ᄋ ᅭ
세시	ᄉ ᅦ ᄉ ᅵ
수업이요	ᄉ ᅮ ᄋ ᅥ ᄇ ᅵ ᄋ ᅭ
입장이고	ᄋ ᅵ ᆸ ᄍ ᅡ ᆼ ᄋ ᅵ ᄀ ᅩ
나오시는	ᄂ ᅡ ᄋ ᅩ ᄉ ᅵ ᄂ ᅳ ᆫ
입장이	ᄋ ᅵ ᆸ ᄍ ᅡ ᆼ ᄋ ᅵ
동기끼리	ᄃ ᅩ ᆼ ᄀ ᅵ ᄁ ᅵ ᄅ ᅵ
꼰대야	ᄁ ᅩ ᆫ ᄄ ᅢ ᄋ ᅣ
맥이기만	ᄆ ᅢ ᄀ ᅵ ᄀ ᅵ ᄆ ᅡ ᆫ
택시비도	ᄐ ᅢ ᆨ ᄊ ᅵ ᄇ ᅵ ᄃ ᅩ
민혁이한테	ᄆ ᅵ ᆫ ᄒ ᅧ ᄀ ᅵ ᄒ ᅡ ᆫ ᄐ ᅦ
마시질	ᄆ ᅡ ᄉ ᅵ ᄌ ᅵ ᆯ
잘리는지	ᄌ ᅡ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ ᄌ ᅵ
잘리고	ᄌ ᅡ ᆯ ᄅ ᅵ ᄀ ᅩ
똥꼬를	ᄄ ᅩ ᆼ ᄁ ᅩ ᄅ ᅳ ᆯ
빨았다는	ᄈ ᅡ ᄅ ᅡ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
김이사	ᄀ ᅵ ᄆ ᅵ ᄉ ᅡ
이사도	ᄋ ᅵ ᄉ ᅡ ᄃ ᅩ
가관이지	ᄀ ᅡ ᄀ ᅪ ᄂ ᅵ ᄌ ᅵ
비서로	ᄇ ᅵ ᄉ ᅥ ᄅ ᅩ
내미	ᄂ ᅢ ᄆ ᅵ
배달도	ᄇ ᅢ ᄃ ᅡ ᆯ ᄃ ᅩ
했잖냐	ᄒ ᅢ ᆮ ᄍ ᅡ ᆫ ᄂ ᅣ
노동부에	ᄂ ᅩ ᄃ ᅩ ᆼ ᄇ ᅮ ᄋ ᅦ
장기자랑	ᄌ ᅡ ᆼ ᄀ ᅵ ᄌ ᅡ ᄅ ᅡ ᆼ
보셨구나	ᄇ ᅩ ᄉ ᅧ ᆮ ᄁ ᅮ ᄂ ᅡ
쪽이라뇨	ᄍ ᅩ ᄀ ᅵ ᄅ ᅡ ᄂ ᅭ
알아보죠	ᄋ ᅡ ᄅ ᅡ ᄇ ᅩ ᄌ ᅭ
이어폰을	ᄋ ᅵ ᄋ ᅥ ᄑ ᅩ ᄂ ᅳ ᆯ
뜨려가지구요	ᄄ ᅳ ᄅ ᅧ ᄀ ᅡ ᄌ ᅵ ᄀ ᅮ ᄋ ᅭ
색이에요	ᄉ ᅢ ᄀ ᅵ ᄋ ᅦ ᄋ ᅭ
검정색이고	ᄀ ᅥ ᆷ ᄌ ᅥ ᆼ ᄉ ᅢ ᄀ ᅵ ᄀ ᅩ
유광이에요	ᄋ ᅲ ᄀ ᅪ ᆼ ᄋ ᅵ ᄋ ᅦ ᄋ ᅭ
성능	ᄉ ᅥ ᆼ ᄂ ᅳ ᆼ
고가인	ᄀ ᅩ ᄀ ᅡ ᄋ ᅵ ᆫ
블루투스	ᄇ ᅳ ᆯ ᄅ ᅮ ᄐ ᅮ ᄉ ᅳ
이어폰보다	ᄋ ᅵ ᄋ ᅥ ᄑ ᅩ ᆫ ᄇ ᅩ ᄃ ᅡ
떨어지기는	ᄄ ᅥ ᄅ ᅥ ᄌ ᅵ ᄀ ᅵ ᄂ ᅳ ᆫ
가성비가	ᄀ ᅡ ᄉ ᅥ ᆼ ᄇ ᅵ ᄀ ᅡ
칠만	ᄎ ᅵ ᆯ ᄆ ᅡ ᆫ
정도에	ᄌ ᅥ ᆼ ᄃ ᅩ ᄋ ᅦ
제수씨가	ᄌ ᅦ ᄉ ᅮ ᄊ ᅵ ᄀ ᅡ
아랫사람인데	ᄋ ᅡ ᄅ ᅢ ᆮ ᄊ ᅡ ᄅ ᅡ ᄆ ᅵ ᆫ ᄃ ᅦ
제수	ᄌ ᅦ ᄉ ᅮ
제사를	ᄌ ᅦ ᄉ ᅡ ᄅ ᅳ ᆯ
시댁이랑	ᄉ ᅵ ᄃ ᅢ ᄀ ᅵ ᄅ ᅡ ᆼ
시댁에는	ᄉ ᅵ ᄃ ᅢ ᄀ ᅦ ᄂ ᅳ ᆫ
척이라도	ᄎ ᅥ ᄀ ᅵ ᄅ ᅡ ᄃ ᅩ
연수가	ᄋ ᅧ ᆫ ᄉ ᅮ ᄀ ᅡ
팔려왔어	ᄑ ᅡ ᆯ ᄅ ᅧ ᄋ ᅪ ᄊ ᅥ
흥분하지	ᄒ ᅳ ᆼ ᄇ ᅮ ᆫ ᄒ ᅡ ᄌ ᅵ
흥분이	ᄒ ᅳ ᆼ ᄇ ᅮ ᄂ ᅵ
가뜩이나	ᄀ ᅡ ᄄ ᅳ ᄀ ᅵ ᄂ ᅡ
연수는	ᄋ ᅧ ᆫ ᄉ ᅮ ᄂ ᅳ ᆫ
간소화	ᄀ ᅡ ᆫ ᄉ ᅩ ᄒ ᅪ
우겨서	ᄋ ᅮ ᄀ ᅧ ᄉ ᅥ
여사친	ᄋ ᅧ ᄉ ᅡ ᄎ ᅵ ᆫ
소개시켜줄	ᄉ ᅩ ᄀ ᅢ ᄉ ᅵ ᄏ ᅧ ᄌ ᅮ ᆯ
만날게	ᄆ ᅡ ᆫ ᄂ ᅡ ᆯ ᄀ ᅦ
혁수야	ᄒ ᅧ ᆨ ᄊ ᅮ ᄋ ᅣ
절연한	ᄌ ᅥ ᄅ ᅧ ᆫ ᄒ ᅡ ᆫ
효진이랑	ᄒ ᅭ ᄌ ᅵ ᄂ ᅵ ᄅ ᅡ ᆼ
잘려고	ᄌ ᅡ ᆯ ᄅ ᅧ ᄀ ᅩ
특기잖아	ᄐ ᅳ ᆨ ᄁ ᅵ ᄌ ᅡ ᄂ ᅡ
시켜줘	ᄉ ᅵ ᄏ ᅧ ᄌ ᅯ
감감	ᄀ ᅡ ᆷ ᄀ ᅡ ᆷ
무소식이다가	ᄆ ᅮ ᄉ ᅩ ᄉ ᅵ ᄀ ᅵ ᄃ ᅡ ᄀ ᅡ
섭섭했어요	ᄉ ᅥ ᆸ ᄊ ᅥ ᄑ ᅢ ᄊ ᅥ ᄋ ᅭ
비씬걸로	ᄇ ᅵ ᄊ ᅵ ᆫ ᄀ ᅥ ᆯ ᄅ ᅩ
버텼는데	ᄇ ᅥ ᄐ ᅧ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
탄탄대로	ᄐ ᅡ ᆫ ᄐ ᅡ ᆫ ᄃ ᅢ ᄅ ᅩ
안타까우니까	ᄋ ᅡ ᆫ ᄐ ᅡ ᄁ ᅡ ᄋ ᅮ ᄂ ᅵ ᄁ ᅡ
휴학도	ᄒ ᅲ ᄒ ᅡ ᆨ ᄄ ᅩ
세계여행은	ᄉ ᅦ ᄀ ᅨ ᄋ ᅧ ᄒ ᅢ ᆼ ᄋ ᅳ ᆫ
쌓을	ᄊ ᅡ ᄋ ᅳ ᆯ
때고	ᄄ ᅢ ᄀ ᅩ
건강할	ᄀ ᅥ ᆫ ᄀ ᅡ ᆼ ᄒ ᅡ ᆯ
비춰지는	ᄇ ᅵ ᄎ ᅯ ᄌ ᅵ ᄂ ᅳ ᆫ
극소수야	ᄀ ᅳ ᆨ ᄊ ᅩ ᄉ ᅮ ᄋ ᅣ
일처리만	ᄋ ᅵ ᆯ ᄎ ᅥ ᄅ ᅵ ᄆ ᅡ ᆫ
과자만	ᄀ ᅪ ᄌ ᅡ ᄆ ᅡ ᆫ
딸랑	ᄄ ᅡ ᆯ ᄅ ᅡ ᆼ
부스러기	ᄇ ᅮ ᄉ ᅳ ᄅ ᅥ ᄀ ᅵ
떨어지잖아	ᄄ ᅥ ᄅ ᅥ ᄌ ᅵ ᄌ ᅡ ᄂ ᅡ
접시라도	ᄌ ᅥ ᆸ ᄊ ᅵ ᄅ ᅡ ᄃ ᅩ
받치던가	ᄇ ᅡ ᆮ ᄎ ᅵ ᄃ ᅥ ᆫ ᄀ ᅡ
받칠게	ᄇ ᅡ ᆮ ᄎ ᅵ ᆯ ᄀ ᅦ
불날	ᄇ ᅮ ᆯ ᄅ ᅡ ᆯ
스킨쉽은	ᄉ ᅳ ᄏ ᅵ ᆫ ᄉ ᅱ ᄇ ᅳ ᆫ
저지르는	ᄌ ᅥ ᄌ ᅵ ᄅ ᅳ ᄂ ᅳ ᆫ
기업이	ᄀ ᅵ ᄋ ᅥ ᄇ ᅵ
컨택하고	ᄏ ᅥ ᆫ ᄐ ᅢ ᄏ ᅡ ᄀ ᅩ
파다해	ᄑ ᅡ ᄃ ᅡ ᄒ ᅢ
감각	ᄀ ᅡ ᆷ ᄀ ᅡ ᆨ
회사들에서도	ᄒ ᅬ ᄉ ᅡ ᄃ ᅳ ᄅ ᅦ ᄉ ᅥ ᄃ ᅩ
카피라이팅	ᄏ ᅡ ᄑ ᅵ ᄅ ᅡ ᄋ ᅵ ᄐ ᅵ ᆼ
놀랐잖냐	ᄂ ᅩ ᆯ ᄅ ᅡ ᆮ ᄍ ᅡ ᆫ ᄂ ᅣ
광고계에	ᄀ ᅪ ᆼ ᄀ ᅩ ᄀ ᅨ ᄋ ᅦ
샛별이다	ᄉ ᅢ ᆮ ᄈ ᅧ ᄅ ᅵ ᄃ ᅡ
뭐다	ᄆ ᅯ ᄃ ᅡ
얼떨떨	ᄋ ᅥ ᆯ ᄄ ᅥ ᆯ ᄄ ᅥ ᆯ
부럽네	ᄇ ᅮ ᄅ ᅥ ᆷ ᄂ ᅦ
기업에서는	ᄀ ᅵ ᄋ ᅥ ᄇ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
정확하게는	ᄌ ᅥ ᆼ ᄒ ᅪ ᄏ ᅡ ᄀ ᅦ ᄂ ᅳ ᆫ
컨택해	ᄏ ᅥ ᆫ ᄐ ᅢ ᄏ ᅢ
넘겨달라고	ᄂ ᅥ ᆷ ᄀ ᅧ ᄃ ᅡ ᆯ ᄅ ᅡ ᄀ ᅩ
넘겨도	ᄂ ᅥ ᆷ ᄀ ᅧ ᄃ ᅩ
잘렸어	ᄌ ᅡ ᆯ ᄅ ᅧ ᄊ ᅥ
정직원	ᄌ ᅥ ᆼ ᄌ ᅵ ᄀ ᅯ ᆫ
말해줬어	ᄆ ᅡ ᆯ ᄒ ᅢ ᄌ ᅯ ᄊ ᅥ
비정규직이라	ᄇ ᅵ ᄌ ᅥ ᆼ ᄀ ᅲ ᄌ ᅵ ᄀ ᅵ ᄅ ᅡ
조항이	ᄌ ᅩ ᄒ ᅡ ᆼ ᄋ ᅵ
비정규직의	ᄇ ᅵ ᄌ ᅥ ᆼ ᄀ ᅲ ᄌ ᅵ ᄀ ᅴ
슬픔이네	ᄉ ᅳ ᆯ ᄑ ᅳ ᄆ ᅵ ᄂ ᅦ
사업이나	ᄉ ᅡ ᄋ ᅥ ᄇ ᅵ ᄂ ᅡ
술장사하자	ᄉ ᅮ ᆯ ᄌ ᅡ ᆼ ᄉ ᅡ ᄒ ᅡ ᄌ ᅡ
술장사	ᄉ ᅮ ᆯ ᄌ ᅡ ᆼ ᄉ ᅡ
남우	ᄂ ᅡ ᄆ ᅮ
여가지고	ᄋ ᅧ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
된장국하고	ᄃ ᅬ ᆫ ᄌ ᅡ ᆼ ᄀ ᅮ ᄏ ᅡ ᄀ ᅩ
제육볶음하고	ᄌ ᅦ ᄋ ᅲ ᆨ ᄈ ᅩ ᄁ ᅳ ᆷ ᄒ ᅡ ᄀ ᅩ
계란찜이네요	ᄀ ᅨ ᄅ ᅡ ᆫ ᄍ ᅵ ᄆ ᅵ ᄂ ᅦ ᄋ ᅭ
식단이	ᄉ ᅵ ᆨ ᄄ ᅡ ᄂ ᅵ
먹읍시다	ᄆ ᅥ ᄀ ᅳ ᆸ ᄊ ᅵ ᄃ ᅡ
받으셨어요	ᄇ ᅡ ᄃ ᅳ ᄉ ᅧ ᄊ ᅥ ᄋ ᅭ
올리셨어요	ᄋ ᅩ ᆯ ᄅ ᅵ ᄉ ᅧ ᄊ ᅥ ᄋ ᅭ
확인하기는	ᄒ ᅪ ᄀ ᅵ ᆫ ᄒ ᅡ ᄀ ᅵ ᄂ ᅳ ᆫ
써버에	ᄊ ᅥ ᄇ ᅥ ᄋ ᅦ
마감이라서	ᄆ ᅡ ᄀ ᅡ ᄆ ᅵ ᄅ ᅡ ᄉ ᅥ
고생은요	ᄀ ᅩ ᄉ ᅢ ᆼ ᄋ ᅳ ᄂ ᅭ
마셨냐	ᄆ ᅡ ᄉ ᅧ ᆫ ᄂ ᅣ
대랑	ᄃ ᅢ ᄅ ᅡ ᆼ
챙겨먹긴	ᄎ ᅢ ᆼ ᄀ ᅧ ᄆ ᅥ ᆨ ᄁ ᅵ ᆫ
비타민이랑	ᄇ ᅵ ᄐ ᅡ ᄆ ᅵ ᄂ ᅵ ᄅ ᅡ ᆼ
간장약	ᄀ ᅡ ᆫ ᄌ ᅡ ᆼ ᄋ ᅣ ᆨ
종합	ᄌ ᅩ ᆼ ᄒ ᅡ ᆸ
끊지	ᄁ ᅳ ᆫ ᄎ ᅵ
떡복이	ᄄ ᅥ ᆨ ᄈ ᅩ ᄀ ᅵ
깨끗하다	ᄁ ᅢ ᄁ ᅳ ᄐ ᅡ ᄃ ᅡ
뻗는데	ᄈ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
치웠지	ᄎ ᅵ ᄋ ᅯ ᆮ ᄍ ᅵ
펴가지고	ᄑ ᅧ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
폈었거든요	ᄑ ᅧ ᄊ ᅥ ᆮ ᄁ ᅥ ᄃ ᅳ ᄂ ᅭ
외로우셨겠네요	ᄋ ᅬ ᄅ ᅩ ᄋ ᅮ ᄉ ᅧ ᆮ ᄁ ᅦ ᆫ ᄂ ᅦ ᄋ ᅭ
피시니까	ᄑ ᅵ ᄉ ᅵ ᄂ ᅵ ᄁ ᅡ
중간중간	ᄌ ᅮ ᆼ ᄀ ᅡ ᆫ ᄌ ᅮ ᆼ ᄀ ᅡ ᆫ
쉬러	ᄉ ᅱ ᄅ ᅥ
눈치만	ᄂ ᅮ ᆫ ᄎ ᅵ ᄆ ᅡ ᆫ
아이스죠	ᄋ ᅡ ᄋ ᅵ ᄉ ᅳ ᄌ ᅭ
아메리카노는	ᄋ ᅡ ᄆ ᅦ ᄅ ᅵ ᄏ ᅡ ᄂ ᅩ ᄂ ᅳ ᆫ
아아죠	ᄋ ᅡ ᄋ ᅡ ᄌ ᅭ
더워졌네	ᄃ ᅥ ᄋ ᅯ ᄌ ᅥ ᆫ ᄂ ᅦ
틀어드릴까요	ᄐ ᅳ ᄅ ᅥ ᄃ ᅳ ᄅ ᅵ ᆯ ᄁ ᅡ ᄋ ᅭ
우시면	ᄋ ᅮ ᄉ ᅵ ᄆ ᅧ ᆫ
리모콘	ᄅ ᅵ ᄆ ᅩ ᄏ ᅩ ᆫ
트시면	ᄐ ᅳ ᄉ ᅵ ᄆ ᅧ ᆫ
아직까지는	ᄋ ᅡ ᄌ ᅵ ᆨ ᄁ ᅡ ᄌ ᅵ ᄂ ᅳ ᆫ
덥지가	ᄃ ᅥ ᆸ ᄍ ᅵ ᄀ ᅡ
더워지겠죠	ᄃ ᅥ ᄋ ᅯ ᄌ ᅵ ᄀ ᅦ ᆮ ᄍ ᅭ
더울지	ᄃ ᅥ ᄋ ᅮ ᆯ ᄌ ᅵ
지내다가	ᄌ ᅵ ᄂ ᅢ ᄃ ᅡ ᄀ ᅡ
벌떡벌떡	ᄇ ᅥ ᆯ ᄄ ᅥ ᆨ ᄈ ᅥ ᆯ ᄄ ᅥ ᆨ
장만했어요	ᄌ ᅡ ᆼ ᄆ ᅡ ᆫ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
좋아졌는데	ᄌ ᅩ ᄋ ᅡ ᄌ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
승진이라도	ᄉ ᅳ ᆼ ᄌ ᅵ ᄂ ᅵ ᄅ ᅡ ᄃ ᅩ
