씨	ᄊ ᅵ
밝혀내	ᄇ ᅡ ᆯ ᄏ ᅧ ᄂ ᅢ
화제다	ᄒ ᅪ ᄌ ᅦ ᄃ ᅡ
버지니아	ᄇ ᅥ ᄌ ᅵ ᄂ ᅵ ᄋ ᅡ
공대	ᄀ ᅩ ᆼ ᄃ ᅢ
기계공학과	ᄀ ᅵ ᄀ ᅨ ᄀ ᅩ ᆼ ᄒ ᅡ ᆨ ᄁ ᅪ
제이크	ᄌ ᅦ ᄋ ᅵ ᄏ ᅳ
소차	ᄉ ᅩ ᄎ ᅡ
교수팀은	ᄀ ᅭ ᄉ ᅮ ᄐ ᅵ ᄆ ᅳ ᆫ
날개는	ᄂ ᅡ ᆯ ᄀ ᅢ ᄂ ᅳ ᆫ
뱀이	ᄇ ᅢ ᄆ ᅵ
날아다닐	ᄂ ᅡ ᄅ ᅡ ᄃ ᅡ ᄂ ᅵ ᆯ
공중에서	ᄀ ᅩ ᆼ ᄌ ᅮ ᆼ ᄋ ᅦ ᄉ ᅥ
날개와	ᄂ ᅡ ᆯ ᄀ ᅢ ᄋ ᅪ
유사한	ᄋ ᅲ ᄉ ᅡ ᄒ ᅡ ᆫ
올려둔	ᄋ ᅩ ᆯ ᄅ ᅧ ᄃ ᅮ ᆫ
비행을	ᄇ ᅵ ᄒ ᅢ ᆼ ᄋ ᅳ ᆯ
유도해	ᄋ ᅲ ᄃ ᅩ ᄒ ᅢ
공중동작을	ᄀ ᅩ ᆼ ᄌ ᅮ ᆼ ᄃ ᅩ ᆼ ᄌ ᅡ ᄀ ᅳ ᆯ
분석했	ᄇ ᅮ ᆫ ᄉ ᅥ ᄏ ᅢ ᆮ
뱀은	ᄇ ᅢ ᄆ ᅳ ᆫ
꼬리	ᄁ ᅩ ᄅ ᅵ
부분으로	ᄇ ᅮ ᄇ ᅮ ᄂ ᅳ ᄅ ᅩ
난간을	ᄂ ᅡ ᆫ ᄀ ᅡ ᄂ ᅳ ᆯ
감싼	ᄀ ᅡ ᆷ ᄊ ᅡ ᆫ
아래로	ᄋ ᅡ ᄅ ᅢ ᄅ ᅩ
숙였다가	ᄉ ᅮ ᄀ ᅧ ᆮ ᄄ ᅡ ᄀ ᅡ
쳐들면서	ᄎ ᅥ ᄃ ᅳ ᆯ ᄆ ᅧ ᆫ ᄉ ᅥ
반동을	ᄇ ᅡ ᆫ ᄃ ᅩ ᆼ ᄋ ᅳ ᆯ
공중으로	ᄀ ᅩ ᆼ ᄌ ᅮ ᆼ ᄋ ᅳ ᄅ ᅩ
튕겨	ᄐ ᅱ ᆼ ᄀ ᅧ
나갔다	ᄂ ᅡ ᄀ ᅡ ᆮ ᄄ ᅡ
몸의	ᄆ ᅩ ᄆ ᅴ
중간	ᄌ ᅮ ᆼ ᄀ ᅡ ᆫ
부분부	ᄇ ᅮ ᄇ ᅮ ᆫ ᄇ ᅮ
꼬리까지를	ᄁ ᅩ ᄅ ᅵ ᄁ ᅡ ᄌ ᅵ ᄅ ᅳ ᆯ
좌우로	ᄌ ᅪ ᄋ ᅮ ᄅ ᅩ
물결치듯	ᄆ ᅮ ᆯ ᄀ ᅧ ᆯ ᄎ ᅵ ᄃ ᅳ ᆮ
공중에	ᄀ ᅩ ᆼ ᄌ ᅮ ᆼ ᄋ ᅦ
떠	ᄄ ᅥ
늘렸	ᄂ ᅳ ᆯ ᄅ ᅧ ᆮ
비행인	ᄇ ᅵ ᄒ ᅢ ᆼ ᄋ ᅵ ᆫ
바람의	ᄇ ᅡ ᄅ ᅡ ᄆ ᅴ
날개처럼	ᄂ ᅡ ᆯ ᄀ ᅢ ᄎ ᅥ ᄅ ᅥ ᆷ
납작해졌	ᄂ ᅡ ᆸ ᄍ ᅡ ᄏ ᅢ ᄌ ᅥ ᆮ
항공자문위원회에서	ᄒ ᅡ ᆼ ᄀ ᅩ ᆼ ᄌ ᅡ ᄆ ᅮ ᄂ ᅱ ᄋ ᅯ ᆫ ᄒ ᅬ ᄋ ᅦ ᄉ ᅥ
양력계수를	ᄋ ᅣ ᆼ ᄂ ᅧ ᆨ ᄁ ᅨ ᄉ ᅮ ᄅ ᅳ ᆯ
오와	ᄋ ᅩ ᄋ ᅪ
영점	ᄋ ᅧ ᆼ ᄌ ᅥ ᆷ
일구로	ᄋ ᅵ ᆯ ᄀ ᅮ ᄅ ᅩ
끝으로	ᄁ ᅳ ᄉ ᅳ ᄅ ᅩ
두께가	ᄃ ᅮ ᄁ ᅦ ᄀ ᅡ
얇아져	ᄋ ᅣ ᆯ ᄇ ᅡ ᄌ ᅥ
양력이	ᄋ ᅣ ᆼ ᄂ ᅧ ᄀ ᅵ
고르지	ᄀ ᅩ ᄅ ᅳ ᄌ ᅵ
양	ᄋ ᅣ ᆼ
뿐인	ᄈ ᅮ ᄂ ᅵ ᆫ
좌우	ᄌ ᅪ ᄋ ᅮ
대칭을	ᄃ ᅢ ᄎ ᅵ ᆼ ᄋ ᅳ ᆯ
날개가	ᄂ ᅡ ᆯ ᄀ ᅢ ᄀ ᅡ
안정적인	ᄋ ᅡ ᆫ ᄌ ᅥ ᆼ ᄌ ᅥ ᄀ ᅵ ᆫ
비행이	ᄇ ᅵ ᄒ ᅢ ᆼ ᄋ ᅵ
설명했	ᄉ ᅥ ᆯ ᄆ ᅧ ᆼ ᄒ ᅢ ᆮ
콘택	ᄏ ᅩ ᆫ ᄐ ᅢ ᆨ
무선	ᄆ ᅮ ᄉ ᅥ ᆫ
칩	ᄎ ᅵ ᆸ
센서를	ᄉ ᅦ ᆫ ᄉ ᅥ ᄅ ᅳ ᆯ
얹은	ᄋ ᅥ ᆫ ᄌ ᅳ ᆫ
의료용	ᄋ ᅴ ᄅ ᅭ ᄋ ᅭ ᆼ
트렌즈를	ᄐ ᅳ ᄅ ᅦ ᆫ ᄌ ᅳ ᄅ ᅳ ᆯ
개발하고	ᄀ ᅢ ᄇ ᅡ ᆯ ᄒ ᅡ ᄀ ᅩ
당뇨병	ᄃ ᅡ ᆼ ᄂ ᅭ ᄇ ᅧ ᆼ
환자가	ᄒ ᅪ ᆫ ᄌ ᅡ ᄀ ᅡ
장착하면	ᄌ ᅡ ᆼ ᄎ ᅡ ᄏ ᅡ ᄆ ᅧ ᆫ
눈물의	ᄂ ᅮ ᆫ ᄆ ᅮ ᄅ ᅴ
성분에서	ᄉ ᅥ ᆼ ᄇ ᅮ ᄂ ᅦ ᄉ ᅥ
혈당치의	ᄒ ᅧ ᆯ ᄃ ᅡ ᆼ ᄎ ᅵ ᄋ ᅴ
측정할	ᄎ ᅳ ᆨ ᄍ ᅥ ᆼ ᄒ ᅡ ᆯ
콘택트렌즈의	ᄏ ᅩ ᆫ ᄐ ᅢ ᆨ ᄐ ᅳ ᄅ ᅦ ᆫ ᄌ ᅳ ᄋ ᅴ
시험용	ᄉ ᅵ ᄒ ᅥ ᄆ ᅭ ᆼ
소프트	ᄉ ᅩ ᄑ ᅳ ᄐ ᅳ
콘택트렌즈용	ᄏ ᅩ ᆫ ᄐ ᅢ ᆨ ᄐ ᅳ ᄅ ᅦ ᆫ ᄌ ᅳ ᄋ ᅭ ᆼ
장의	ᄌ ᅡ ᆼ ᄋ ᅴ
크기의	ᄏ ᅳ ᄀ ᅵ ᄋ ᅴ
혈당치	ᄒ ᅧ ᆯ ᄃ ᅡ ᆼ ᄎ ᅵ
측정	ᄎ ᅳ ᆨ ᄍ ᅥ ᆼ
센서	ᄉ ᅦ ᆫ ᄉ ᅥ
머리카락보다	ᄆ ᅥ ᄅ ᅵ ᄏ ᅡ ᄅ ᅡ ᆨ ᄈ ᅩ ᄃ ᅡ
안테나	ᄋ ᅡ ᆫ ᄐ ᅦ ᄂ ᅡ
엘이디	ᄋ ᅦ ᄅ ᅵ ᄃ ᅵ
라이트를	ᄅ ᅡ ᄋ ᅵ ᄐ ᅳ ᄅ ᅳ ᆯ
장착해	ᄌ ᅡ ᆼ ᄎ ᅡ ᄏ ᅢ
일초마다	ᄋ ᅵ ᆯ ᄎ ᅩ ᄆ ᅡ ᄃ ᅡ
혈당치를	ᄒ ᅧ ᆯ ᄃ ᅡ ᆼ ᄎ ᅵ ᄅ ᅳ ᆯ
측정해	ᄎ ᅳ ᆨ ᄍ ᅥ ᆼ ᄒ ᅢ
라이트는	ᄅ ᅡ ᄋ ᅵ ᄐ ᅳ ᄂ ᅳ ᆫ
격한	ᄀ ᅧ ᄏ ᅡ ᆫ
경고해	ᄀ ᅧ ᆼ ᄀ ᅩ ᄒ ᅢ
워싱턴	ᄋ ᅯ ᄉ ᅵ ᆼ ᄐ ᅥ ᆫ
전기공학	ᄌ ᅥ ᆫ ᄀ ᅵ ᄀ ᅩ ᆼ ᄒ ᅡ ᆨ
준교수로서	ᄌ ᅮ ᆫ ᄀ ᅭ ᄉ ᅮ ᄅ ᅩ ᄉ ᅥ
당뇨병은	ᄃ ᅡ ᆼ ᄂ ᅭ ᄇ ᅧ ᆼ ᄋ ᅳ ᆫ
열아홉	ᄋ ᅧ ᄅ ᅡ ᄒ ᅩ ᆸ
앓고	ᄋ ᅡ ᆯ ᄏ ᅩ
질환	ᄌ ᅵ ᆯ ᄒ ᅪ ᆫ
혈당치가	ᄒ ᅧ ᆯ ᄃ ᅡ ᆼ ᄎ ᅵ ᄀ ᅡ
상승하거나	ᄉ ᅡ ᆼ ᄉ ᅳ ᆼ ᄒ ᅡ ᄀ ᅥ ᄂ ᅡ
급격히	ᄀ ᅳ ᆸ ᄁ ᅧ ᄏ ᅵ
감시가	ᄀ ᅡ ᆷ ᄉ ᅵ ᄀ ᅡ
피부에	ᄑ ᅵ ᄇ ᅮ ᄋ ᅦ
모니터를	ᄆ ᅩ ᄂ ᅵ ᄐ ᅥ ᄅ ᅳ ᆯ
삽입하는	ᄉ ᅡ ᄇ ᅵ ᄑ ᅡ ᄂ ᅳ ᆫ
환자들은	ᄒ ᅪ ᆫ ᄌ ᅡ ᄃ ᅳ ᄅ ᅳ ᆫ
손끝을	ᄉ ᅩ ᆫ ᄁ ᅳ ᄉ ᅳ ᆯ
바늘로	ᄇ ᅡ ᄂ ᅳ ᆯ ᄅ ᅩ
찌른	ᄍ ᅵ ᄅ ᅳ ᆫ
혈액을	ᄒ ᅧ ᄅ ᅢ ᄀ ᅳ ᆯ
측정하고	ᄎ ᅳ ᆨ ᄍ ᅥ ᆼ ᄒ ᅡ ᄀ ᅩ
귀찮은	ᄀ ᅱ ᄎ ᅡ ᄂ ᅳ ᆫ
일이며	ᄋ ᅵ ᄅ ᅵ ᄆ ᅧ
통증까지	ᄐ ᅩ ᆼ ᄌ ᅳ ᆼ ᄁ ᅡ ᄌ ᅵ
상용화되면	ᄉ ᅡ ᆼ ᄋ ᅭ ᆼ ᄒ ᅪ ᄃ ᅬ ᄆ ᅧ ᆫ
스트레스	ᄉ ᅳ ᄐ ᅳ ᄅ ᅦ ᄉ ᅳ
비만	ᄇ ᅵ ᄆ ᅡ ᆫ
면역체계	ᄆ ᅧ ᄂ ᅧ ᆨ ᄎ ᅦ ᄀ ᅨ
원인에	ᄋ ᅯ ᄂ ᅵ ᄂ ᅦ
포도당의	ᄑ ᅩ ᄃ ᅩ ᄃ ᅡ ᆼ ᄋ ᅴ
췌장에서	ᄎ ᅰ ᄌ ᅡ ᆼ ᄋ ᅦ ᄉ ᅥ
분비되는	ᄇ ᅮ ᆫ ᄇ ᅵ ᄃ ᅬ ᄂ ᅳ ᆫ
인슐린은	ᄋ ᅵ ᆫ ᄉ ᅲ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
포도당을	ᄑ ᅩ ᄃ ᅩ ᄃ ᅡ ᆼ ᄋ ᅳ ᆯ
운반하여	ᄋ ᅮ ᆫ ᄇ ᅡ ᆫ ᄒ ᅡ ᄋ ᅧ
단백질의	ᄃ ᅡ ᆫ ᄇ ᅢ ᆨ ᄍ ᅵ ᄅ ᅴ
합성을	ᄒ ᅡ ᆸ ᄊ ᅥ ᆼ ᄋ ᅳ ᆯ
촉	ᄎ ᅩ ᆨ
진한다	ᄌ ᅵ ᆫ ᄒ ᅡ ᆫ ᄃ ᅡ
인슐린이	ᄋ ᅵ ᆫ ᄉ ᅲ ᆯ ᄅ ᅵ ᄂ ᅵ
분비되지	ᄇ ᅮ ᆫ ᄇ ᅵ ᄃ ᅬ ᄌ ᅵ
정상보다	ᄌ ᅥ ᆼ ᄉ ᅡ ᆼ ᄇ ᅩ ᄃ ᅡ
소변으로도	ᄉ ᅩ ᄇ ᅧ ᄂ ᅳ ᄅ ᅩ ᄃ ᅩ
포도당이	ᄑ ᅩ ᄃ ᅩ ᄃ ᅡ ᆼ ᄋ ᅵ
빠져나온다고	ᄈ ᅡ ᄌ ᅥ ᄂ ᅡ ᄋ ᅩ ᆫ ᄃ ᅡ ᄀ ᅩ
하여	ᄒ ᅡ ᄋ ᅧ
콜레라	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ
지금보다	ᄌ ᅵ ᄀ ᅳ ᆷ ᄇ ᅩ ᄃ ᅡ
독성	ᄃ ᅩ ᆨ ᄊ ᅥ ᆼ
강했다	ᄀ ᅡ ᆼ ᄒ ᅢ ᆮ ᄄ ᅡ
런던에서	ᄅ ᅥ ᆫ ᄃ ᅥ ᄂ ᅦ ᄉ ᅥ
토목	ᄐ ᅩ ᄆ ᅩ ᆨ
공사는	ᄀ ᅩ ᆼ ᄉ ᅡ ᄂ ᅳ ᆫ
상하수도와	ᄉ ᅡ ᆼ ᄒ ᅡ ᄉ ᅮ ᄃ ᅩ ᄋ ᅪ
지하철이	ᄌ ᅵ ᄒ ᅡ ᄎ ᅥ ᄅ ᅵ
구했다	ᄀ ᅮ ᄒ ᅢ ᆮ ᄄ ᅡ
성공과	ᄉ ᅥ ᆼ ᄀ ᅩ ᆼ ᄀ ᅪ
런던으로	ᄅ ᅥ ᆫ ᄃ ᅥ ᄂ ᅳ ᄅ ᅩ
몰려들었고	ᄆ ᅩ ᆯ ᄅ ᅧ ᄃ ᅳ ᄅ ᅥ ᆮ ᄁ ᅩ
런던은	ᄅ ᅥ ᆫ ᄃ ᅥ ᄂ ᅳ ᆫ
포화	ᄑ ᅩ ᄒ ᅪ
배설물은	ᄇ ᅢ ᄉ ᅥ ᆯ ᄆ ᅮ ᄅ ᅳ ᆫ
템스	ᄐ ᅦ ᆷ ᄉ ᅳ
강으로	ᄀ ᅡ ᆼ ᄋ ᅳ ᄅ ᅩ
흘러들었다	ᄒ ᅳ ᆯ ᄅ ᅥ ᄃ ᅳ ᄅ ᅥ ᆮ ᄄ ᅡ
회사들은	ᄒ ᅬ ᄉ ᅡ ᄃ ᅳ ᄅ ᅳ ᆫ
강물을	ᄀ ᅡ ᆼ ᄆ ᅮ ᄅ ᅳ ᆯ
정수해서	ᄌ ᅥ ᆼ ᄉ ᅮ ᄒ ᅢ ᄉ ᅥ
시민들에게	ᄉ ᅵ ᄆ ᅵ ᆫ ᄃ ᅳ ᄅ ᅦ ᄀ ᅦ
공급했다	ᄀ ᅩ ᆼ ᄀ ᅳ ᄑ ᅢ ᆮ ᄄ ᅡ
식수와	ᄉ ᅵ ᆨ ᄊ ᅮ ᄋ ᅪ
균도	ᄀ ᅲ ᆫ ᄃ ᅩ
시민	ᄉ ᅵ ᄆ ᅵ ᆫ
콜레라로	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄅ ᅩ
죽었다	ᄌ ᅮ ᄀ ᅥ ᆮ ᄄ ᅡ
잃었고	ᄋ ᅵ ᄅ ᅥ ᆮ ᄁ ᅩ
심	ᄉ ᅵ ᆷ
육년에는	ᄋ ᅲ ᆼ ᄂ ᅧ ᄂ ᅦ ᄂ ᅳ ᆫ
박물관은	ᄇ ᅡ ᆼ ᄆ ᅮ ᆯ ᄀ ᅪ ᄂ ᅳ ᆫ
사망한	ᄉ ᅡ ᄆ ᅡ ᆼ ᄒ ᅡ ᆫ
남성	ᄂ ᅡ ᆷ ᄉ ᅥ ᆼ
희생자의	ᄒ ᅵ ᄉ ᅢ ᆼ ᄌ ᅡ ᄋ ᅴ
미라를	ᄆ ᅵ ᄅ ᅡ ᄅ ᅳ ᆯ
미라의	ᄆ ᅵ ᄅ ᅡ ᄋ ᅴ
내장에서	ᄂ ᅢ ᄌ ᅡ ᆼ ᄋ ᅦ ᄉ ᅥ
채취해	ᄎ ᅢ ᄎ ᅱ ᄒ ᅢ
구세기	ᄀ ᅮ ᄉ ᅦ ᄀ ᅵ
강타한	ᄀ ᅡ ᆼ ᄐ ᅡ ᄒ ᅡ ᆫ
전염병인	ᄌ ᅥ ᄂ ᅧ ᆷ ᄇ ᅧ ᆼ ᄋ ᅵ ᆫ
콜레라의	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄋ ᅴ
놀라운	ᄂ ᅩ ᆯ ᄅ ᅡ ᄋ ᅮ ᆫ
년대	ᄂ ᅧ ᆫ ᄃ ᅢ
콜레라는	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄂ ᅳ ᆫ
콜레라에	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄋ ᅦ
치명적이라는	ᄎ ᅵ ᄆ ᅧ ᆼ ᄌ ᅥ ᄀ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
오염의	ᄋ ᅩ ᄋ ᅧ ᄆ ᅴ
심했기	ᄉ ᅵ ᆷ ᄒ ᅢ ᆮ ᄁ ᅵ
인분이나	ᄋ ᅵ ᆫ ᄇ ᅮ ᄂ ᅵ ᄂ ᅡ
가축의	ᄀ ᅡ ᄎ ᅮ ᄀ ᅴ
분뇨를	ᄇ ᅮ ᆫ ᄂ ᅭ ᄅ ᅳ ᆯ
정제하는	ᄌ ᅥ ᆼ ᄌ ᅦ ᄒ ᅡ ᄂ ᅳ ᆫ
독성은	ᄃ ᅩ ᆨ ᄊ ᅥ ᆼ ᄋ ᅳ ᆫ
강했다고	ᄀ ᅡ ᆼ ᄒ ᅢ ᆮ ᄄ ᅡ ᄀ ᅩ
비브리오	ᄇ ᅵ ᄇ ᅳ ᄅ ᅵ ᄋ ᅩ
테리아에	ᄐ ᅦ ᄅ ᅵ ᄋ ᅡ ᄋ ᅦ
음식물이나	ᄋ ᅳ ᆷ ᄉ ᅵ ᆼ ᄆ ᅮ ᄅ ᅵ ᄂ ᅡ
극심한	ᄀ ᅳ ᆨ ᄊ ᅵ ᆷ ᄒ ᅡ ᆫ
설사를	ᄉ ᅥ ᆯ ᄉ ᅡ ᄅ ᅳ ᆯ
치료하지	ᄎ ᅵ ᄅ ᅭ ᄒ ᅡ ᄌ ᅵ
구년에는	ᄀ ᅮ ᄂ ᅧ ᄂ ᅦ ᄂ ᅳ ᆫ
아이티에서	ᄋ ᅡ ᄋ ᅵ ᄐ ᅵ ᄋ ᅦ ᄉ ᅥ
콜레라가	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄀ ᅡ
번져	ᄇ ᅥ ᆫ ᄌ ᅥ
숨지고	ᄉ ᅮ ᆷ ᄌ ᅵ ᄀ ᅩ
받았다	ᄇ ᅡ ᄃ ᅡ ᆮ ᄄ ᅡ
콜레라를	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄅ ᅳ ᆯ
콜레라보다	ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ ᄇ ᅩ ᄃ ᅡ
치명적인	ᄎ ᅵ ᄆ ᅧ ᆼ ᄌ ᅥ ᄀ ᅵ ᆫ
엘	ᄋ ᅦ ᆯ
토르바이러스에	ᄐ ᅩ ᄅ ᅳ ᄇ ᅡ ᄋ ᅵ ᄅ ᅥ ᄉ ᅳ ᄋ ᅦ
알려졌다	ᄋ ᅡ ᆯ ᄅ ᅧ ᄌ ᅥ ᆮ ᄄ ᅡ
의학도	ᄋ ᅴ ᄒ ᅡ ᆨ ᄄ ᅩ
발전했는데	ᄇ ᅡ ᆯ ᄍ ᅥ ᆫ ᄒ ᅢ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
독성까지	ᄃ ᅩ ᆨ ᄊ ᅥ ᆼ ᄁ ᅡ ᄌ ᅵ
심했던	ᄉ ᅵ ᆷ ᄒ ᅢ ᆮ ᄄ ᅥ ᆫ
공포였을지	ᄀ ᅩ ᆼ ᄑ ᅩ ᄋ ᅧ ᄊ ᅳ ᆯ ᄌ ᅵ
상상이	ᄉ ᅡ ᆼ ᄉ ᅡ ᆼ ᄋ ᅵ
최강	ᄎ ᅬ ᄀ ᅡ ᆼ
섬유	ᄉ ᅥ ᄆ ᅲ
케블라	ᄏ ᅦ ᄇ ᅳ ᆯ ᄅ ᅡ
유사	ᄋ ᅲ ᄉ ᅡ
가의	ᄀ ᅡ ᄋ ᅴ
탄생과	ᄐ ᅡ ᆫ ᄉ ᅢ ᆼ ᄀ ᅪ
전쟁은	ᄌ ᅥ ᆫ ᄌ ᅢ ᆼ ᄋ ᅳ ᆫ
과정이었다	ᄀ ᅪ ᄌ ᅥ ᆼ ᄋ ᅵ ᄋ ᅥ ᆮ ᄄ ᅡ
전쟁의	ᄌ ᅥ ᆫ ᄌ ᅢ ᆼ ᄋ ᅴ
승리를	ᄉ ᅳ ᆼ ᄂ ᅵ ᄅ ᅳ ᆯ
무기를	ᄆ ᅮ ᄀ ᅵ ᄅ ᅳ ᆯ
개발했고	ᄀ ᅢ ᄇ ᅡ ᆯ ᄒ ᅢ ᆮ ᄁ ᅩ
방어수단도	ᄇ ᅡ ᆼ ᄋ ᅥ ᄉ ᅮ ᄃ ᅡ ᆫ ᄃ ᅩ
발전했다	ᄇ ᅡ ᆯ ᄍ ᅥ ᆫ ᄒ ᅢ ᆮ ᄄ ᅡ
맞대고	ᄆ ᅡ ᆮ ᄄ ᅢ ᄀ ᅩ
전쟁용품	ᄌ ᅥ ᆫ ᄌ ᅢ ᆼ ᄋ ᅭ ᆼ ᄑ ᅮ ᆷ
방탄복을	ᄇ ᅡ ᆼ ᄐ ᅡ ᆫ ᄇ ᅩ ᄀ ᅳ ᆯ
갑옷으로	ᄀ ᅡ ᄇ ᅩ ᄉ ᅳ ᄅ ᅩ
방탄복이	ᄇ ᅡ ᆼ ᄐ ᅡ ᆫ ᄇ ᅩ ᄀ ᅵ
쓰이기	ᄊ ᅳ ᄋ ᅵ ᄀ ᅵ
차례의	ᄎ ᅡ ᄅ ᅨ ᄋ ᅴ
세계대전이	ᄉ ᅦ ᄀ ᅨ ᄃ ᅢ ᄌ ᅥ ᄂ ᅵ
계기가	ᄀ ᅨ ᄀ ᅵ ᄀ ᅡ
천으로	ᄎ ᅥ ᄂ ᅳ ᄅ ᅩ
총알	ᄎ ᅩ ᆼ ᄋ ᅡ ᆯ
불가능	ᄇ ᅮ ᆯ ᄀ ᅡ ᄂ ᅳ ᆼ
방탄	ᄇ ᅡ ᆼ ᄐ ᅡ ᆫ
어려웠다	ᄋ ᅥ ᄅ ᅧ ᄋ ᅯ ᆮ ᄄ ᅡ
발사되는	ᄇ ᅡ ᆯ ᄉ ᅡ ᄃ ᅬ ᄂ ᅳ ᆫ
총알은	ᄎ ᅩ ᆼ ᄋ ᅡ ᄅ ᅳ ᆫ
보란	ᄇ ᅩ ᄅ ᅡ ᆫ
뚫었고	ᄄ ᅮ ᄅ ᅥ ᆮ ᄁ ᅩ
총알의	ᄎ ᅩ ᆼ ᄋ ᅡ ᄅ ᅴ
종류에	ᄌ ᅩ ᆼ ᄂ ᅲ ᄋ ᅦ
차이	ᄎ ᅡ ᄋ ᅵ
났다	ᄂ ᅡ ᆮ ᄄ ᅡ
총알을	ᄎ ᅩ ᆼ ᄋ ᅡ ᄅ ᅳ ᆯ
천을	ᄎ ᅥ ᄂ ᅳ ᆯ
불가능하다고	ᄇ ᅮ ᆯ ᄀ ᅡ ᄂ ᅳ ᆼ ᄒ ᅡ ᄃ ᅡ ᄀ ᅩ
포기하지	ᄑ ᅩ ᄀ ᅵ ᄒ ᅡ ᄌ ᅵ
않았고	ᄋ ᅡ ᄂ ᅡ ᆮ ᄁ ᅩ
이년	ᄋ ᅵ ᄂ ᅧ ᆫ
섬유가	ᄉ ᅥ ᄆ ᅲ ᄀ ᅡ
개발되면서	ᄀ ᅢ ᄇ ᅡ ᆯ ᄃ ᅬ ᄆ ᅧ ᆫ ᄉ ᅥ
성큼	ᄉ ᅥ ᆼ ᄏ ᅳ ᆷ
다가섰다	ᄃ ᅡ ᄀ ᅡ ᄉ ᅥ ᆮ ᄄ ᅡ
듀폰의	ᄃ ᅲ ᄑ ᅩ ᄂ ᅴ
개발품	ᄀ ᅢ ᄇ ᅡ ᆯ ᄑ ᅮ ᆷ
화학업체인	ᄒ ᅪ ᄒ ᅡ ᄀ ᅥ ᆸ ᄎ ᅦ ᄋ ᅵ ᆫ
듀폰은	ᄃ ᅲ ᄑ ᅩ ᄂ ᅳ ᆫ
케블라라는	ᄏ ᅦ ᄇ ᅳ ᆯ ᄅ ᅡ ᄅ ᅡ ᄂ ᅳ ᆫ
질기고	ᄌ ᅵ ᆯ ᄀ ᅵ ᄀ ᅩ
발명했	ᄇ ᅡ ᆯ ᄆ ᅧ ᆼ ᄒ ᅢ ᆮ
방탄복은	ᄇ ᅡ ᆼ ᄐ ᅡ ᆫ ᄇ ᅩ ᄀ ᅳ ᆫ
총알도	ᄎ ᅩ ᆼ ᄋ ᅡ ᆯ ᄃ ᅩ
막아내는	ᄆ ᅡ ᄀ ᅡ ᄂ ᅢ ᄂ ᅳ ᆫ
제품이었다	ᄌ ᅦ ᄑ ᅮ ᄆ ᅵ ᄋ ᅥ ᆮ ᄄ ᅡ
섬유를	ᄉ ᅥ ᄆ ᅲ ᄅ ᅳ ᆯ
여성	ᄋ ᅧ ᄉ ᅥ ᆼ
발명가	ᄇ ᅡ ᆯ ᄆ ᅧ ᆼ ᄀ ᅡ
스테파니	ᄉ ᅳ ᄐ ᅦ ᄑ ᅡ ᄂ ᅵ
퀄럭	ᄏ ᅯ ᆯ ᄅ ᅥ ᆨ
그녀가	ᄀ ᅳ ᄂ ᅧ ᄀ ᅡ
설계해	ᄉ ᅥ ᆯ ᄀ ᅨ ᄒ ᅢ
고분자	ᄀ ᅩ ᄇ ᅮ ᆫ ᄌ ᅡ
용액은	ᄋ ᅭ ᆼ ᄋ ᅢ ᄀ ᅳ ᆫ
용액에	ᄋ ᅭ ᆼ ᄋ ᅢ ᄀ ᅦ
점도가	ᄌ ᅥ ᆷ ᄃ ᅩ ᄀ ᅡ
낮고	ᄂ ᅡ ᆮ ᄁ ᅩ
뿌옇기까지	ᄈ ᅮ ᄋ ᅧ ᄏ ᅵ ᄁ ᅡ ᄌ ᅵ
투명하고	ᄐ ᅮ ᄆ ᅧ ᆼ ᄒ ᅡ ᄀ ᅩ
끈적한	ᄁ ᅳ ᆫ ᄌ ᅥ ᄏ ᅡ ᆫ
익숙하던	ᄋ ᅵ ᆨ ᄊ ᅮ ᄏ ᅡ ᄃ ᅥ ᆫ
실험실	ᄉ ᅵ ᆯ ᄒ ᅥ ᆷ ᄉ ᅵ ᆯ
보조원들은	ᄇ ᅩ ᄌ ᅩ ᄋ ᅯ ᆫ ᄃ ᅳ ᄅ ᅳ ᆫ
고가의	ᄀ ᅩ ᄀ ᅡ ᄋ ᅴ
막혀	ᄆ ᅡ ᄏ ᅧ
버릴까	ᄇ ᅥ ᄅ ᅵ ᆯ ᄁ ᅡ
방사를	ᄇ ᅡ ᆼ ᄉ ᅡ ᄅ ᅳ ᆯ
주저했다	ᄌ ᅮ ᄌ ᅥ ᄒ ᅢ ᆮ ᄄ ᅡ
발명품에	ᄇ ᅡ ᆯ ᄆ ᅧ ᆼ ᄑ ᅮ ᄆ ᅦ
